year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2016,Estimated using AADF from previous year on this link,0,221,51123,141,11322,4228,67035,503
2015,Estimated using AADF from previous year on this link,0,218,50709,144,10662,4149,65881,503
2014,Manual count,0,224,50574,156,9581,3993,64528,503
2013,Manual count,0,316,49261,210,9441,3810,63037,503
2012,Manual count,0,231,51115,148,9518,3810,64822,503
2011,Manual count,0,162,49494,177,9428,3856,63117,503
2010,Manual count,0,305,49026,241,8718,4028,62318,503
2009,Manual count,0,217,49874,153,9522,4288,64054,503
2008,Manual count,0,479,47885,190,9413,4693,62660,503
2007,Estimated using AADF from previous year on this link,0,242,50900,171,9398,4911,65622,503
2006,Manual count,0,235,50546,151,8875,4986,64793,503
2005,Estimated using AADF from previous year on this link,0,189,42993,113,8423,4276,55994,503
2004,Estimated using AADF from previous year on this link,0,187,42993,109,8138,4340,55767,503
2003,Estimated using AADF from previous year on this link,0,211,41822,182,7385,4132,53732,503
2002,Manual count,0,187,42850,177,7170,4336,54720,503
2001,Estimated using AADF from previous year on this link,0,142,32081,187,5343,4241,41994,503
2000,Manual count,0,140,31146,183,5055,4200,40724,503
2000,Manual count,4,35,9038,120,1625,1524,12342,504
2024,Estimated using AADF from previous year on this link,80,67,10278,157,1267,64,11834,505
2023,Estimated using AADF from previous year on this link,83,68,10156,158,1245,64,11691,505
2022,Estimated using AADF from previous year on this link,88,73,9911,159,1221,64,11428,505
2021,Estimated using AADF from previous year on this link,90,66,9234,149,1096,63,10607,505
2020,Estimated using AADF from previous year on this link,120,64,8444,126,957,58,9649,505
2019,Manual count,94,86,11563,196,1118,64,13028,505
2018,Estimated using AADF from previous year on this link,82,56,10145,117,1262,77,11656,505
2017,Estimated using AADF from previous year on this link,84,57,10194,123,1205,75,11654,505
2016,Estimated using AADF from previous year on this link,84,59,10206,126,1139,73,11603,505
2015,Manual count,90,60,10049,136,1042,72,11360,505
2014,Estimated using AADF from previous year on this link,74,81,11325,251,1316,65,13037,505
2013,Estimated using AADF from previous year on this link,77,84,11114,199,1238,73,12708,505
2012,Estimated using AADF from previous year on this link,78,79,11112,177,1336,75,12780,505
2011,Estimated using AADF from previous year on this link,82,79,11279,160,1186,74,12778,505
2010,Estimated using AADF from previous year on this link,74,79,11101,148,1049,74,12451,505
2009,Estimated using AADF from previous year on this link,74,87,11179,138,1027,72,12503,505
2008,Estimated using AADF from previous year on this link,74,89,11013,130,975,75,12282,505
2007,Estimated using AADF from previous year on this link,66,87,10861,140,922,77,12087,505
2006,Manual count,106,85,11302,138,904,73,12502,505
2005,Estimated using AADF from previous year on this link,128,182,10960,127,1214,86,12569,505
2004,Estimated using AADF from previous year on this link,152,141,10841,133,1026,76,12217,505
2003,Manual count,187,119,10556,153,887,71,11786,505
2002,Estimated using AADF from previous year on this link,150,80,11381,148,1026,122,12757,505
2001,Manual count,144,72,10788,174,919,117,12070,505
2000,Estimated using AADF from previous year on this link,86,55,14455,218,1057,91,15876,505
2024,Estimated using AADF from previous year on this link,22,18,1793,0,451,52,2314,506
2023,Estimated using AADF from previous year on this link,22,18,1779,0,438,52,2287,506
2022,Estimated using AADF from previous year on this link,25,18,1753,0,424,53,2248,506
2021,Estimated using AADF from previous year on this link,27,16,1520,0,387,51,1975,506
2020,Manual count,27,14,1324,0,322,45,1705,506
2019,Estimated using AADF from previous year on this link,20,36,1705,19,591,78,2430,506
2018,Estimated using AADF from previous year on this link,18,36,1691,20,593,78,2418,506
2017,Estimated using AADF from previous year on this link,18,34,1697,21,567,77,2395,506
2016,Estimated using AADF from previous year on this link,19,34,1698,20,532,74,2357,506
2015,Estimated using AADF from previous year on this link,16,32,1648,20,492,71,2264,506
2014,Estimated using AADF from previous year on this link,16,34,1623,19,464,68,2208,506
2013,Estimated using AADF from previous year on this link,20,31,1604,18,426,67,2146,506
2012,Manual count,20,29,1599,17,397,66,2108,506
2011,Estimated using AADF from previous year on this link,0,22,2381,28,618,120,3169,506
2010,Estimated using AADF from previous year on this link,0,22,2398,28,589,116,3153,506
2009,Estimated using AADF from previous year on this link,0,24,2490,24,574,117,3229,506
2008,Estimated using AADF from previous year on this link,0,22,2475,23,532,116,3168,506
2007,Estimated using AADF from previous year on this link,0,21,2517,22,509,115,3184,506
2006,Estimated using AADF from previous year on this link,0,21,2586,22,484,112,3225,506
2005,Estimated using AADF from previous year on this link,0,19,2561,22,456,110,3168,506
2004,Manual count,0,21,2590,24,419,107,3161,506
2003,Estimated using AADF from previous year on this link,0,60,1718,46,292,86,2202,506
2002,Estimated using AADF from previous year on this link,0,47,1657,45,268,90,2107,506
2001,Manual count,0,38,1590,43,259,89,2019,506
2000,Estimated using AADF from previous year on this link,0,40,1553,40,259,94,1986,506
2024,Estimated using AADF from previous year on this link,15,136,4003,31,963,299,5432,508
2023,Estimated using AADF from previous year on this link,14,134,3974,31,936,298,5372,508
2022,Estimated using AADF from previous year on this link,17,137,3915,31,906,301,5290,508
2021,Estimated using AADF from previous year on this link,18,119,3394,29,827,294,4664,508
2020,Estimated using AADF from previous year on this link,18,102,2957,24,688,259,4030,508
2019,Estimated using AADF from previous year on this link,18,173,4401,39,866,306,5785,508
2018,Estimated using AADF from previous year on this link,16,172,4364,41,869,307,5752,508
2017,Estimated using AADF from previous year on this link,15,164,4379,42,830,303,5717,508
2016,Manual count,17,163,4381,41,779,293,5657,508
2015,Estimated using AADF from previous year on this link,8,148,4720,121,1016,402,6408,508
2014,Estimated using AADF from previous year on this link,8,151,4572,113,929,383,6148,508
2013,Estimated using AADF from previous year on this link,10,135,4514,107,882,379,6017,508
2012,Estimated using AADF from previous year on this link,10,130,4515,100,848,375,5967,508
2011,Estimated using AADF from previous year on this link,11,139,4516,94,810,373,5932,508
2010,Estimated using AADF from previous year on this link,13,131,4480,103,747,377,5838,508
2009,Estimated using AADF from previous year on this link,13,142,4590,97,729,376,5934,508
2008,Manual count,11,135,4496,80,725,393,5829,508
2007,Estimated using AADF from previous year on this link,1,95,4781,52,822,398,6148,508
2006,Estimated using AADF from previous year on this link,1,90,4810,50,745,391,6086,508
2005,Estimated using AADF from previous year on this link,1,93,4670,50,708,382,5903,508
2004,Estimated using AADF from previous year on this link,1,85,4651,48,706,390,5880,508
2003,Manual count,1,93,4601,74,664,395,5827,508
2002,Estimated using AADF from previous year on this link,10,311,3912,55,582,326,5186,508
2001,Estimated using AADF from previous year on this link,10,285,3747,69,516,321,4938,508
2000,Manual count,11,262,3743,69,497,320,4891,508
2024,Estimated using AADF from previous year on this link,1,64,19110,37,5685,3790,28686,509
2023,Estimated using AADF from previous year on this link,1,63,18970,37,5528,3789,28388,509
2022,Estimated using AADF from previous year on this link,1,65,18692,37,5350,3869,28012,509
2021,Manual count,1,57,16205,34,4884,3782,24962,509
2020,Estimated using AADF from previous year on this link,2,47,14239,45,3530,2740,20602,509
2019,Estimated using AADF from previous year on this link,2,80,21193,73,4441,3210,28997,509
2018,Manual count,1,79,21015,76,4457,3218,28847,509
2017,Estimated using AADF from previous year on this link,0,95,20529,117,4787,4151,29679,509
2016,Manual count,0,95,20537,114,4494,4030,29270,509
2015,Estimated using AADF from previous year on this link,1,47,17104,91,4255,3762,25259,509
2014,Estimated using AADF from previous year on this link,1,47,17223,90,3908,3600,24868,509
2013,Manual count,1,43,17267,87,3754,3689,24839,509
2012,Estimated using AADF from previous year on this link,1,112,14819,72,3618,3822,22444,509
2011,Manual count,1,121,14938,70,3498,3909,22536,509
2010,Estimated using AADF from previous year on this link,1,103,19150,166,3366,3385,26170,509
2009,Estimated using AADF from previous year on this link,1,114,19422,161,3265,3491,26453,509
2008,Manual count,1,113,19480,156,3271,3806,26826,509
2007,Manual count,1,73,16189,194,4192,4576,25224,509
2006,Manual count,0,55,17396,142,3411,4283,25287,509
2005,Manual count,0,111,18793,108,3373,4450,26835,509
2004,Manual count,1,126,21104,217,3272,4136,28855,509
2003,Manual count,0,144,17652,100,3097,4481,25474,509
2002,Manual count,0,83,18136,166,3020,4180,25585,509
2001,Manual count,0,64,18413,87,2354,4257,25175,509
2000,Manual count,0,63,17237,116,2803,5446,25665,509
2024,Estimated using AADF from previous year on this link,8,100,6554,54,1042,266,8016,510
2023,Estimated using AADF from previous year on this link,8,98,6506,54,1013,265,7936,510
2022,Manual count,9,101,6411,54,980,268,7814,510
2021,Estimated using AADF from previous year on this link,41,136,4790,27,1081,322,6357,510
2020,Estimated using AADF from previous year on this link,40,117,4173,22,900,282,5493,510
2019,Estimated using AADF from previous year on this link,40,198,6211,36,1132,334,7911,510
2018,Estimated using AADF from previous year on this link,36,196,6159,38,1136,336,7865,510
2017,Estimated using AADF from previous year on this link,35,187,6180,39,1085,331,7822,510
2016,Estimated using AADF from previous year on this link,37,185,6183,38,1018,320,7744,510
2015,Estimated using AADF from previous year on this link,32,178,6003,37,943,309,7470,510
2014,Manual count,32,182,5814,35,862,294,7187,510
2013,Estimated using AADF from previous year on this link,37,65,6921,61,1147,315,8509,510
2012,Estimated using AADF from previous year on this link,37,63,6936,62,1109,314,8485,510
2011,Estimated using AADF from previous year on this link,40,68,6992,60,1072,315,8507,510
2010,Estimated using AADF from previous year on this link,46,63,7034,58,1044,322,8521,510
2009,Estimated using AADF from previous year on this link,45,70,7134,56,1012,325,8597,510
2008,Estimated using AADF from previous year on this link,39,70,7156,54,1014,349,8643,510
2007,Manual count,39,67,7393,51,978,355,8844,510
2006,Estimated using AADF from previous year on this link,13,132,7373,54,953,284,8796,510
2005,Manual count,13,138,7159,54,906,280,8537,510
2004,Manual count,3,106,7182,47,935,261,8531,510
2003,Estimated using AADF from previous year on this link,9,108,6535,62,844,319,7868,510
2002,Manual count,11,104,6327,32,807,336,7606,510
2001,Estimated using AADF from previous year on this link,0,40,5550,75,743,363,6771,510
2000,Manual count,0,37,5544,75,716,356,6728,510
2024,Estimated using AADF from previous year on this link,0,50,2221,12,1016,288,3587,512
2023,Estimated using AADF from previous year on this link,0,49,2205,12,988,286,3540,512
2022,Estimated using AADF from previous year on this link,0,51,2172,12,956,286,3477,512
2021,Estimated using AADF from previous year on this link,0,44,1883,11,873,280,3092,512
2020,Estimated using AADF from previous year on this link,0,38,1641,9,726,244,2658,512
2019,Estimated using AADF from previous year on this link,0,64,2442,15,914,291,3726,512
2018,Estimated using AADF from previous year on this link,0,63,2421,16,917,293,3711,512
2017,Estimated using AADF from previous year on this link,0,60,2430,16,876,289,3671,512
2016,Estimated using AADF from previous year on this link,0,60,2431,16,822,278,3607,512
2015,Manual count,0,58,2360,16,761,267,3461,512
2014,Estimated using AADF from previous year on this link,4,79,2729,70,799,509,4185,512
2013,Estimated using AADF from previous year on this link,5,72,2697,69,734,481,4053,512
2012,Estimated using AADF from previous year on this link,5,69,2688,63,684,464,3968,512
2011,Estimated using AADF from previous year on this link,5,75,2739,56,708,461,4039,512
